Progress: 3%, score: -1
Progress: 6%, score: -6
Progress: 10%, score: -4
Progress: 13%, score: -4
Progress: 16%, score: -3
Progress: 20%, score: -4
Progress: 23%, score: -5
Progress: 26%, score: -4
Progress: 30%, score: -2
Progress: 33%, score: -4
Progress: 36%, score: -3
Progress: 40%, score: -4
Progress: 43%, score: -5
Progress: 46%, score: 0
Progress: 50%, score: -3
Progress: 53%, score: -1
Progress: 56%, score: -5
Progress: 60%, score: -4
Progress: 63%, score: -5
Progress: 66%, score: -5
Progress: 70%, score: -2
Progress: 73%, score: -7
Progress: 76%, score: -4
Progress: 80%, score: -4
Progress: 83%, score: -4
Progress: 86%, score: -2
Progress: 90%, score: -1
Progress: 93%, score: 0
Progress: 96%, score: -10
Progress: 100%, score: -1
